order_id,entity_id,ndc,order_date,qty_ordered,unit_price_340b,lag_days_from_trigger_claim
ORD00001,CE001,00078-0648-15,2025-11-29,60,5300.0,5
ORD00002,CE011,00002-1433-80,2025-04-04,30,140.0,10
ORD00003,CE009,00078-0648-15,2026-06-08,60,5300.0,5
ORD00004,CE006,00002-1433-80,2025-09-03,120,140.0,3
ORD00005,CE006,00003-0894-11,2025-05-16,30,310.0,7
ORD00006,CE004,00069-0150-01,2026-04-18,60,58.0,21
ORD00007,CE004,00002-1433-80,2025-07-01,30,140.0,21
ORD00008,CE003,00006-0749-31,2025-09-08,30,380.0,21
ORD00009,CE012,00069-0150-01,2025-02-03,120,58.0,14
ORD00010,CE002,00078-0648-15,2026-03-04,30,5300.0,7
ORD00011,CE008,00069-0150-01,2026-05-08,90,58.0,1
ORD00012,CE012,00078-0648-15,2025-02-10,120,5300.0,10
ORD00013,CE007,00002-1433-80,2025-05-08,60,140.0,2
ORD00014,CE010,00074-3799-13,2025-04-25,90,4100.0,3
ORD00015,CE011,00078-0648-15,2025-12-14,60,5300.0,3
ORD00016,CE004,00002-1433-80,2025-09-28,90,140.0,2
ORD00017,CE008,00093-7146-01,2026-05-19,90,12.5,5
ORD00018,CE005,00006-0749-31,2026-04-01,120,380.0,10
ORD00019,CE010,00074-3799-13,2025-10-09,60,4100.0,1
ORD00020,CE009,50242-0079-01,2025-10-23,60,1900.0,1
ORD00021,CE010,00006-0749-31,2026-01-07,90,380.0,7
ORD00022,CE010,50242-0079-01,2025-11-09,120,1900.0,21
ORD00023,CE003,00074-3799-13,2025-05-12,90,4100.0,3
ORD00024,CE005,00078-0648-15,2025-08-22,60,5300.0,1
ORD00025,CE003,00074-3799-13,2025-01-13,90,4100.0,7
ORD00026,CE008,00078-0648-15,2025-06-24,60,5300.0,10
ORD00027,CE009,00006-0749-31,2026-01-19,120,380.0,14
ORD00028,CE009,50242-0079-01,2026-05-09,120,1900.0,3
ORD00029,CE001,00078-0648-15,2025-03-08,60,5300.0,10
ORD00030,CE004,00074-3799-13,2025-08-18,90,4100.0,3
ORD00031,CE011,00093-7146-01,2025-07-21,120,12.5,10
ORD00032,CE010,00002-1433-80,2025-01-13,60,140.0,30
ORD00033,CE006,00003-0894-11,2025-02-03,30,310.0,14
ORD00034,CE009,00006-0749-31,2025-03-10,30,380.0,7
ORD00035,CE008,00069-0150-01,2026-06-20,60,58.0,5
ORD00036,CE012,00074-3799-13,2025-07-07,60,4100.0,5
ORD00037,CE003,00002-1433-80,2025-02-11,90,140.0,7
ORD00038,CE012,00093-7146-01,2025-07-14,60,12.5,2
ORD00039,CE001,00074-3799-13,2025-08-01,60,4100.0,5
ORD00040,CE008,00002-1433-80,2025-04-11,30,140.0,30
ORD00041,CE011,00006-0749-31,2025-03-16,120,380.0,5
ORD00042,CE008,00093-7146-01,2025-03-27,60,12.5,21
ORD00043,CE009,00093-7146-01,2025-08-09,90,12.5,21
ORD00044,CE010,00069-0150-01,2026-03-17,120,58.0,2
ORD00045,CE010,00003-0894-11,2026-04-13,90,310.0,1
ORD00046,CE010,00078-0648-15,2025-10-05,60,5300.0,21
ORD00047,CE009,00006-0749-31,2026-05-10,90,380.0,30
ORD00048,CE005,00074-3799-13,2026-06-29,90,4100.0,5
ORD00049,CE011,00074-3799-13,2026-05-31,120,4100.0,7
ORD00050,CE003,00093-7146-01,2026-05-15,90,12.5,1
ORD00051,CE008,00002-1433-80,2025-06-17,30,140.0,3
ORD00052,CE011,00078-0648-15,2025-11-08,120,5300.0,2
ORD00053,CE011,00006-0749-31,2025-07-07,30,380.0,5
ORD00054,CE004,00003-0894-11,2025-11-11,90,310.0,30
ORD00055,CE009,00006-0749-31,2026-04-29,90,380.0,2
ORD00056,CE010,00003-0894-11,2025-06-08,60,310.0,10
ORD00057,CE007,00003-0894-11,2025-06-25,60,310.0,3
ORD00058,CE009,00006-0749-31,2026-05-01,90,380.0,14
ORD00059,CE005,00003-0894-11,2026-04-29,90,310.0,7
ORD00060,CE005,50242-0079-01,2025-12-08,90,1900.0,10
ORD00061,CE005,00002-1433-80,2026-03-12,120,140.0,14
ORD00062,CE007,00069-0150-01,2025-02-26,90,58.0,14
ORD00063,CE008,50242-0079-01,2025-10-08,60,1900.0,1
ORD00064,CE011,00003-0894-11,2025-09-20,90,310.0,7
ORD00065,CE006,00069-0150-01,2026-03-14,90,58.0,14
ORD00066,CE004,00003-0894-11,2026-05-31,90,310.0,21
ORD00067,CE002,00093-7146-01,2025-09-06,90,12.5,3
ORD00068,CE012,00002-1433-80,2026-04-27,120,140.0,1
ORD00069,CE004,00002-1433-80,2025-10-14,30,140.0,14
ORD00070,CE001,00093-7146-01,2025-12-17,90,12.5,7
ORD00071,CE005,00002-1433-80,2025-04-24,60,140.0,21
ORD00072,CE006,00093-7146-01,2026-02-28,60,12.5,3
ORD00073,CE010,00074-3799-13,2025-07-24,30,4100.0,30
ORD00074,CE004,00002-1433-80,2025-12-02,90,140.0,30
ORD00075,CE012,00074-3799-13,2025-01-23,30,4100.0,3
ORD00076,CE006,00006-0749-31,2026-04-02,60,380.0,5
ORD00077,CE008,00006-0749-31,2025-08-22,90,380.0,21
ORD00078,CE004,00006-0749-31,2025-09-23,30,380.0,7
ORD00079,CE002,50242-0079-01,2026-02-25,120,1900.0,14
ORD00080,CE001,00002-1433-80,2026-06-26,90,140.0,1
ORD00081,CE010,00069-0150-01,2026-03-24,90,58.0,1
ORD00082,CE005,00002-1433-80,2025-12-08,30,140.0,2
ORD00083,CE009,00093-7146-01,2025-04-26,60,12.5,30
ORD00084,CE010,00093-7146-01,2026-04-25,30,12.5,5
ORD00085,CE005,00078-0648-15,2026-04-22,60,5300.0,21
ORD00086,CE002,00006-0749-31,2025-07-06,120,380.0,10
ORD00087,CE001,00078-0648-15,2026-02-16,30,5300.0,7
ORD00088,CE001,00078-0648-15,2025-01-09,90,5300.0,5
ORD00089,CE003,00078-0648-15,2025-09-23,90,5300.0,5
ORD00090,CE011,00002-1433-80,2025-07-25,60,140.0,10
ORD00091,CE003,00003-0894-11,2025-07-31,60,310.0,7
ORD00092,CE001,00093-7146-01,2025-02-10,90,12.5,3
ORD00093,CE006,00093-7146-01,2025-11-19,60,12.5,5
ORD00094,CE005,00003-0894-11,2025-06-17,90,310.0,14
ORD00095,CE004,00003-0894-11,2025-12-30,60,310.0,1
ORD00096,CE002,00002-1433-80,2026-01-20,120,140.0,1
ORD00097,CE007,00003-0894-11,2025-02-20,120,310.0,21
ORD00098,CE004,00078-0648-15,2025-07-30,30,5300.0,14
ORD00099,CE003,00093-7146-01,2026-06-03,30,12.5,30
ORD00100,CE004,50242-0079-01,2025-05-04,90,1900.0,21
ORD00101,CE007,00006-0749-31,2025-07-15,30,380.0,5
ORD00102,CE008,00006-0749-31,2025-09-19,30,380.0,30
ORD00103,CE001,00002-1433-80,2025-01-08,120,140.0,14
ORD00104,CE002,00078-0648-15,2025-12-30,90,5300.0,10
ORD00105,CE007,00093-7146-01,2025-11-04,30,12.5,5
ORD00106,CE008,00078-0648-15,2025-01-17,90,5300.0,7
ORD00107,CE003,00069-0150-01,2025-09-12,30,58.0,3
ORD00108,CE009,50242-0079-01,2025-06-09,120,1900.0,3
ORD00109,CE001,00069-0150-01,2025-08-03,90,58.0,7
ORD00110,CE003,00078-0648-15,2026-03-06,60,5300.0,3
ORD00111,CE012,50242-0079-01,2025-07-05,30,1900.0,10
ORD00112,CE001,50242-0079-01,2026-05-25,90,1900.0,5
ORD00113,CE011,00078-0648-15,2026-01-18,90,5300.0,7
ORD00114,CE001,00069-0150-01,2025-12-06,120,58.0,1
ORD00115,CE012,00069-0150-01,2025-05-28,30,58.0,14
ORD00116,CE010,00078-0648-15,2026-06-22,60,5300.0,3
ORD00117,CE001,00093-7146-01,2025-12-24,30,12.5,5
ORD00118,CE002,00078-0648-15,2025-04-26,120,5300.0,21
ORD00119,CE009,00078-0648-15,2026-03-27,30,5300.0,3
ORD00120,CE008,00074-3799-13,2026-04-26,60,4100.0,7
ORD00121,CE011,00006-0749-31,2026-01-10,120,380.0,2
ORD00122,CE012,00002-1433-80,2025-07-20,60,140.0,3
ORD00123,CE003,50242-0079-01,2025-08-19,30,1900.0,2
ORD00124,CE005,00078-0648-15,2025-04-18,60,5300.0,5
ORD00125,CE003,00074-3799-13,2025-11-05,120,4100.0,10
ORD00126,CE003,00074-3799-13,2025-12-02,90,4100.0,14
ORD00127,CE010,50242-0079-01,2025-02-05,30,1900.0,14
ORD00128,CE003,00003-0894-11,2025-01-15,30,310.0,3
ORD00129,CE003,00003-0894-11,2026-02-11,30,310.0,10
ORD00130,CE008,00002-1433-80,2025-12-19,120,140.0,5
ORD00131,CE004,00002-1433-80,2026-04-10,120,140.0,7
ORD00132,CE012,00093-7146-01,2025-10-14,90,12.5,30
ORD00133,CE003,00006-0749-31,2025-09-19,120,380.0,10
ORD00134,CE011,00002-1433-80,2025-04-09,90,140.0,10
ORD00135,CE006,00093-7146-01,2026-03-13,60,12.5,1
ORD00136,CE004,00093-7146-01,2026-04-14,30,12.5,2
ORD00137,CE003,00074-3799-13,2025-12-22,120,4100.0,7
ORD00138,CE009,00078-0648-15,2025-03-26,60,5300.0,30
ORD00139,CE009,00078-0648-15,2025-07-19,60,5300.0,3
ORD00140,CE004,00069-0150-01,2025-12-29,60,58.0,30
ORD00141,CE009,00069-0150-01,2026-01-07,60,58.0,30
ORD00142,CE006,50242-0079-01,2025-06-12,60,1900.0,2
ORD00143,CE012,00003-0894-11,2025-06-05,120,310.0,30
ORD00144,CE005,00003-0894-11,2025-02-20,90,310.0,14
ORD00145,CE009,00078-0648-15,2026-03-08,120,5300.0,21
ORD00146,CE003,00006-0749-31,2025-11-04,30,380.0,1
ORD00147,CE012,00074-3799-13,2025-11-16,30,4100.0,5
ORD00148,CE007,00069-0150-01,2025-05-24,120,58.0,3
ORD00149,CE004,50242-0079-01,2026-02-05,120,1900.0,3
ORD00150,CE010,00078-0648-15,2025-07-18,90,5300.0,5
ORD00151,CE004,00093-7146-01,2025-10-10,120,12.5,3
ORD00152,CE012,00093-7146-01,2025-06-05,120,12.5,5
ORD00153,CE011,50242-0079-01,2025-10-10,30,1900.0,10
ORD00154,CE009,00093-7146-01,2025-11-15,30,12.5,30
ORD00155,CE004,00002-1433-80,2026-03-25,30,140.0,7
ORD00156,CE003,00002-1433-80,2025-03-14,90,140.0,10
ORD00157,CE007,00069-0150-01,2025-09-19,120,58.0,2
ORD00158,CE010,00078-0648-15,2025-06-22,90,5300.0,21
ORD00159,CE009,00003-0894-11,2025-04-16,90,310.0,2
ORD00160,CE011,00003-0894-11,2026-05-22,120,310.0,14
ORD00161,CE011,00069-0150-01,2025-04-18,90,58.0,7
ORD00162,CE011,00074-3799-13,2026-06-05,120,4100.0,10
ORD00163,CE006,00074-3799-13,2025-03-27,30,4100.0,1
ORD00164,CE004,00002-1433-80,2026-05-22,120,140.0,5
ORD00165,CE002,00074-3799-13,2026-05-15,120,4100.0,30
ORD00166,CE001,00078-0648-15,2025-04-21,30,5300.0,2
ORD00167,CE004,00093-7146-01,2026-01-05,120,12.5,14
ORD00168,CE006,00069-0150-01,2026-03-27,30,58.0,21
ORD00169,CE011,00078-0648-15,2026-03-19,60,5300.0,1
ORD00170,CE001,50242-0079-01,2025-12-03,90,1900.0,2
ORD00171,CE001,00078-0648-15,2026-04-13,90,5300.0,7
ORD00172,CE006,00006-0749-31,2025-09-12,120,380.0,7
ORD00173,CE006,00069-0150-01,2026-04-15,60,58.0,7
ORD00174,CE009,00003-0894-11,2025-11-26,90,310.0,14
ORD00175,CE008,50242-0079-01,2025-04-02,90,1900.0,10
ORD00176,CE006,00003-0894-11,2025-11-10,30,310.0,2
ORD00177,CE006,00078-0648-15,2026-05-25,120,5300.0,3
ORD00178,CE005,00003-0894-11,2026-05-13,90,310.0,10
ORD00179,CE006,00002-1433-80,2025-06-13,90,140.0,3
ORD00180,CE002,00069-0150-01,2025-07-14,90,58.0,7
ORD00181,CE007,50242-0079-01,2025-03-19,30,1900.0,5
ORD00182,CE012,00093-7146-01,2026-02-19,60,12.5,7
ORD00183,CE009,00006-0749-31,2025-12-29,60,380.0,14
ORD00184,CE002,00078-0648-15,2025-10-28,90,5300.0,2
ORD00185,CE008,00003-0894-11,2025-02-11,60,310.0,5
ORD00186,CE001,00074-3799-13,2026-05-22,60,4100.0,5
ORD00187,CE004,00003-0894-11,2026-03-27,60,310.0,5
ORD00188,CE005,00069-0150-01,2025-09-07,120,58.0,1
ORD00189,CE007,00002-1433-80,2025-07-16,60,140.0,14
ORD00190,CE011,00078-0648-15,2026-02-01,90,5300.0,7
ORD00191,CE007,00074-3799-13,2026-01-15,60,4100.0,10
ORD00192,CE009,00006-0749-31,2026-01-01,60,380.0,2
ORD00193,CE012,00006-0749-31,2025-09-10,60,380.0,30
ORD00194,CE009,00093-7146-01,2026-05-03,90,12.5,30
ORD00195,CE010,00093-7146-01,2025-08-22,60,12.5,10
ORD00196,CE005,00002-1433-80,2025-02-24,120,140.0,21
ORD00197,CE010,00002-1433-80,2026-03-23,60,140.0,2
ORD00198,CE009,00069-0150-01,2026-04-05,30,58.0,30
ORD00199,CE008,00006-0749-31,2025-06-01,90,380.0,2
ORD00200,CE012,00093-7146-01,2025-10-10,30,12.5,7
ORD00201,CE007,00002-1433-80,2025-05-17,60,140.0,14
ORD00202,CE005,00002-1433-80,2025-11-08,60,140.0,10
ORD00203,CE003,00078-0648-15,2025-11-19,30,5300.0,1
ORD00204,CE010,00006-0749-31,2025-05-03,30,380.0,2
ORD00205,CE012,00078-0648-15,2025-06-15,60,5300.0,5
ORD00206,CE003,50242-0079-01,2025-01-31,30,1900.0,21
ORD00207,CE002,00006-0749-31,2025-04-07,120,380.0,14
ORD00208,CE007,00078-0648-15,2026-05-01,90,5300.0,3
ORD00209,CE002,50242-0079-01,2025-11-15,60,1900.0,10
ORD00210,CE005,00078-0648-15,2026-05-27,60,5300.0,2
ORD00211,CE007,00074-3799-13,2025-07-25,90,4100.0,5
ORD00212,CE006,00093-7146-01,2026-04-08,90,12.5,2
ORD00213,CE010,00069-0150-01,2025-03-04,30,58.0,30
ORD00214,CE002,00006-0749-31,2025-06-22,30,380.0,1
ORD00215,CE006,00069-0150-01,2026-01-29,30,58.0,7
ORD00216,CE002,00006-0749-31,2025-06-26,120,380.0,5
ORD00217,CE009,50242-0079-01,2025-08-12,30,1900.0,10
ORD00218,CE010,50242-0079-01,2026-01-19,120,1900.0,3
ORD00219,CE009,50242-0079-01,2025-06-02,30,1900.0,21
ORD00220,CE009,00069-0150-01,2025-05-04,90,58.0,7
ORD00221,CE006,00093-7146-01,2025-07-04,60,12.5,30
ORD00222,CE008,00093-7146-01,2025-07-17,90,12.5,3
ORD00223,CE011,00002-1433-80,2026-02-03,30,140.0,21
ORD00224,CE006,00093-7146-01,2025-09-10,60,12.5,10
ORD00225,CE008,00003-0894-11,2025-07-12,30,310.0,14
ORD00226,CE001,00006-0749-31,2026-05-07,30,380.0,2
ORD00227,CE009,00006-0749-31,2026-06-29,120,380.0,30
ORD00228,CE005,00003-0894-11,2025-11-25,120,310.0,3
ORD00229,CE005,00003-0894-11,2026-03-13,120,310.0,14
